FOLDER,ELEMENT,ATTRIBUTE,,,,,,,
Default,OC2+,cpSupplyTransformer,None,,,,,,
Default,OC2+,cpSupplyTrfStation,None,,,,,,
Default,OC2+,cpZone,None,,,,,,
Default,OC2+,dat_src,None,,,,,,
Default,OC2+,dataExtUnit,None,,,,,,
Default,OC2+,fold_id,None,,,,,,
Default,OC2+,for_name,None,,,,,,
Default,OC2+,gnrl_modby,None,,,,,,
Default,OC2+,gnrl_modif,None,,,,,,
Default,OC2+,iSchemeStatus,None,,,,,,
Default,OC2+,iacceptblock,None,,,,,,
Default,OC2+,idir,None,,,,,,
Default,OC2+,loc_name,None,,,,,,
Default,OC2+,minresptime,None,,,,,,
Default,OC2+,outserv,Protection/Group1/Overcurrent/PhaseOvercurrent/OC2F/,First,use_setting,D,,,
Default,OC2+,pcharac,Protection/Group1/Overcurrent/PhaseOvercurrent/ForwardPowerflow/Second/,Curve,use_setting,None,,,
Default,OC2+,resetdis,None,,,,,,
Default,OC2+,root_id,None,,,,,,
Default,OC2+,typ_id,None,,,,,,
Default,OC2+,udeftmax,Protection/Group1/Overcurrent/PhaseOvercurrent/ForwardPowerflow/Second/,MaxTrippingTime,use_setting,None,,,
Default,OC2+,udeftmin,Protection/Group1/Overcurrent/PhaseOvercurrent/ForwardPowerflow/First/,DefiniteMinimumTime,use_setting,None,,,
Default,OC2+ Minimum Current Multiplier,AttributeType,None,,,,,,
Default,OC2+ Minimum Current Multiplier,Ipset,Protection/Group1/Overcurrent/PhaseOvercurrent/ForwardPowerflow/Second/,MinimumCurrentMultiplier,use_setting,None,,,
Default,OC2+ Minimum Current Multiplier,Ipsetr,None,,,,,,
Default,OC2+ Minimum Current Multiplier,Trelblock,None,,,,,,
Default,OC2+ Minimum Current Multiplier,Tset,None,,,,,,
Default,OC2+ Minimum Current Multiplier,cDisplayName,None,,,,,,
Default,OC2+ Minimum Current Multiplier,cTset,None,,,,,,
Default,OC2+ Minimum Current Multiplier,cUserDefIndex,None,,,,,,
Default,OC2+ Minimum Current Multiplier,c_sfansi,None,,,,,,
Default,OC2+ Minimum Current Multiplier,c_sfiec,None,,,,,,
Default,OC2+ Minimum Current Multiplier,c_type,None,,,,,,
Default,OC2+ Minimum Current Multiplier,calcuse,None,,,,,,
Default,OC2+ Minimum Current Multiplier,charact,None,,,,,,
Default,OC2+ Minimum Current Multiplier,chr_name,None,,,,,,
Default,OC2+ Minimum Current Multiplier,ciDist,None,,,,,,
Default,OC2+ Minimum Current Multiplier,ciDistAll,None,,,,,,
Default,OC2+ Minimum Current Multiplier,ciDistAllRoot,None,,,,,,
Default,OC2+ Minimum Current Multiplier,ciDistRoot,None,,,,,,
Default,OC2+ Minimum Current Multiplier,ciEarthed,None,,,,,,
Default,OC2+ Minimum Current Multiplier,ciEnergized,None,,,,,,
Default,OC2+ Minimum Current Multiplier,ciLater,None,,,,,,
Default,OC2+ Minimum Current Multiplier,ciOutaged,None,,,,,,
Default,OC2+ Minimum Current Multiplier,cpArea,None,,,,,,
Default,OC2+ Minimum Current Multiplier,cpBranch,None,,,,,,
Default,OC2+ Minimum Current Multiplier,cpFeed,None,,,,,,
