FOLDER,ELEMENT,ATTRIBUTE,,,,,,,,
default,I>2,cpSupplyTransformer,None,,,,,,,
default,I>2,cpSupplyTrfStation,None,,,,,,,
default,I>2,cpZone,None,,,,,,,
default,I>2,dat_src,None,,,,,,,
default,I>2,dataExtUnit,None,,,,,,,
default,I>2,fold_id,None,,,,,,,
default,I>2,for_name,None,,,,,,,
default,I>2,gnrl_modby,None,,,,,,,
default,I>2,gnrl_modif,None,,,,,,,
default,I>2,iSchemeStatus,None,,,,,,,
default,I>2,iacceptblock,None,,,,,,,
default,I>2,idir,None,,,,,,,
default,I>2,loc_name,None,,,,,,,
default,I>2,minresptime,None,,,,,,,
default,I>2,outserv,Group 1/35 - GROUP 1 OVERCURRENT/,3509,use_setting,Disabled,,,,
default,I>2,pcharac,Group 1/35 - GROUP 1 OVERCURRENT/,3509,use_setting,None,,,,
default,I>2,resetdis,None,,,,,,,
default,I>2,root_id,None,,,,,,,
default,I>2,typ_id,None,,,,,,,
default,I>2,udeftmax,None,,,,,,,
default,I>2,udeftmin,None,,,,,,,
default,I>3,AttributeType,None,,,,,,,
default,I>3,Ipset,None,,,,,,,
default,I>3,Ipsetr,Group 1/35 - GROUP 1 OVERCURRENT/,3513,use_setting,None,,,,
default,I>3,Trelblock,None,,,,,,,
default,I>3,Tset,Group 1/35 - GROUP 1 OVERCURRENT/,3514,use_setting,None,,,,
default,I>3,cDisplayName,None,,,,,,,
default,I>3,cTset,None,,,,,,,
default,I>3,cUserDefIndex,None,,,,,,,
default,I>3,c_sfansi,None,,,,,,,
default,I>3,c_sfiec,None,,,,,,,
default,I>3,c_type,None,,,,,,,
default,I>3,calcuse,None,,,,,,,
default,I>3,charact,None,,,,,,,
default,I>3,chr_name,None,,,,,,,
default,I>3,ciDist,None,,,,,,,
default,I>3,ciDistAll,None,,,,,,,
default,I>3,ciDistAllRoot,None,,,,,,,
default,I>3,ciDistRoot,None,,,,,,,
default,I>3,ciEarthed,None,,,,,,,
default,I>3,ciEnergized,None,,,,,,,
default,I>3,ciLater,None,,,,,,,
default,I>3,ciOutaged,None,,,,,,,
default,I>3,cpArea,None,,,,,,,
default,I>3,cpBranch,None,,,,,,,
default,I>3,cpFeed,None,,,,,,,
default,I>3,cpGrid,None,,,,,,,
default,I>3,cpHeadFold,None,,,,,,,
default,I>3,cpMeteostat,None,,,,,,,
default,I>3,cpOperator,None,,,,,,,
default,I>3,cpOwner,None,,,,,,,
default,I>3,cpSite,None,,,,,,,
default,I>3,cpSubstat,None,,,,,,,
default,I>3,cpSupplySubstation,None,,,,,,,
default,I>3,cpSupplyTransformer,None,,,,,,,
default,I>3,cpSupplyTrfStation,None,,,,,,,
default,I>3,cpZone,None,,,,,,,
default,I>3,cptotime,None,,,,,,,
default,I>3,dat_src,None,,,,,,,
default,I>3,dataExtUnit,None,,,,,,,
default,I>3,fold_id,None,,,,,,,
default,I>3,for_name,None,,,,,,,
default,I>3,gnrl_modby,None,,,,,,,
default,I>3,gnrl_modif,None,,,,,,,
default,I>3,iSchemeStatus,None,,,,,,,
default,I>3,iacceptblock,None,,,,,,,
default,I>3,idir,None,,,,,,,
default,I>3,loc_name,None,,,,,,,
default,I>3,outserv,Group 1/35 - GROUP 1 OVERCURRENT/,3511,use_setting,Disabled,,,,
default,I>3,root_id,None,,,,,,,
default,I>3,typ_id,None,,,,,,,
default,I>4,AttributeType,None,,,,,,,
default,I>4,Ipset,None,,,,,,,
default,I>4,Ipsetr,Group 1/35 - GROUP 1 OVERCURRENT/,3518,use_setting,None,,,,
default,I>4,Trelblock,None,,,,,,,
default,I>4,Tset,Group 1/35 - GROUP 1 OVERCURRENT/,3519,use_setting,None,,,,
default,I>4,cDisplayName,None,,,,,,,
default,I>4,cTset,None,,,,,,,
default,I>4,cUserDefIndex,None,,,,,,,
default,I>4,c_sfansi,None,,,,,,,
default,I>4,c_sfiec,None,,,,,,,
default,I>4,c_type,None,,,,,,,
default,I>4,calcuse,None,,,,,,,
default,I>4,charact,None,,,,,,,
default,I>4,chr_name,None,,,,,,,
default,I>4,ciDist,None,,,,,,,
default,I>4,ciDistAll,None,,,,,,,
default,I>4,ciDistAllRoot,None,,,,,,,
default,I>4,ciDistRoot,None,,,,,,,
default,I>4,ciEarthed,None,,,,,,,
default,I>4,ciEnergized,None,,,,,,,
default,I>4,ciLater,None,,,,,,,
default,I>4,ciOutaged,None,,,,,,,
default,I>4,cpArea,None,,,,,,,
default,I>4,cpBranch,None,,,,,,,
default,I>4,cpFeed,None,,,,,,,
default,I>4,cpGrid,None,,,,,,,
default,I>4,cpHeadFold,None,,,,,,,
default,I>4,cpMeteostat,None,,,,,,,
default,I>4,cpOperator,None,,,,,,,
default,I>4,cpOwner,None,,,,,,,
default,I>4,cpSite,None,,,,,,,
default,I>4,cpSubstat,None,,,,,,,
default,I>4,cpSupplySubstation,None,,,,,,,
default,I>4,cpSupplyTransformer,None,,,,,,,
default,I>4,cpSupplyTrfStation,None,,,,,,,
default,I>4,cpZone,None,,,,,,,
default,I>4,cptotime,None,,,,,,,
default,I>4,dat_src,None,,,,,,,
default,I>4,dataExtUnit,None,,,,,,,
default,I>4,fold_id,None,,,,,,,
default,I>4,for_name,None,,,,,,,
default,I>4,gnrl_modby,None,,,,,,,
default,I>4,gnrl_modif,None,,,,,,,
default,I>4,iSchemeStatus,None,,,,,,,
default,I>4,iacceptblock,None,,,,,,,
default,I>4,idir,None,,,,,,,
default,I>4,loc_name,None,,,,,,,
default,I>4,outserv,Group 1/35 - GROUP 1 OVERCURRENT/,3516,use_setting,Disabled,,,,
default,I>4,root_id,None,,,,,,,
default,I>4,typ_id,None,,,,,,,
default,Therm,AttributeType,None,,,,,,,
default,Therm,Ipset,None,,,,,,,
default,Therm,Ipsetr,None,,,,,,,
default,Therm,ModFrame,None,,,,,,,
default,Therm,ResetT,None,,,,,,,
default,Therm,Tadder,None,,,,,,,
default,Therm,Tpset,None,,,,,,,
default,Therm,Trelblock,None,,,,,,,
default,Therm,Tshift,None,,,,,,,
default,Therm,cDisplayName,None,,,,,,,
default,Therm,cResetT,None,,,,,,,
default,Therm,cTadder,None,,,,,,,
default,Therm,cUserDefIndex,None,,,,,,,
default,Therm,c_sfansi,None,,,,,,,
default,Therm,c_sfiec,None,,,,,,,
default,Therm,c_type,None,,,,,,,
default,Therm,calcuse,None,,,,,,,
default,Therm,charact,None,,,,,,,
default,Therm,chr_name,None,,,,,,,
default,Therm,ciDist,None,,,,,,,
default,Therm,ciDistAll,None,,,,,,,
default,Therm,ciDistAllRoot,None,,,,,,,
default,Therm,ciDistRoot,None,,,,,,,
default,Therm,ciEarthed,None,,,,,,,
default,Therm,ciEnergized,None,,,,,,,
