asset_id,equip_no,plant_no
40206585,000002697884,DO-795908                     
83054384,000006245215,DO-445364                     
82878504,000005892841,DO-339120                     
84113341,000006954698,DO-639301                     
84139892,000006998061,DO-682802                     
50067677,000002121014,DO-63828                      
84243613,000007157596,DO-815681                     
85162692,000008332689,DO-1414560                    
82923478,000005994351,DO-368500                     
111556635,000008724660,DO-796745                     
112549072,000009302610,DO-892403                     
111560822,000008695034,DO-797862                     
112564519,000009317383,DO-928730                     
85302964,000008560776,DO-1502960                    
111559527,000008694413,DO-797553                     
111571143,000008703366,DO-798367                     
111571149,000008703374,DO-798593                     
111597063,000008724267,DO-802026                     
84141568,000007000531,DO-741044                     
111571065,000008703371,DO-797847                     
111566814,000008700538,DO-798030                     
111566833,000008700541,DO-798035                     
85368407,000008621313,DO-1550807                    
84432573,000007454294,DO-1582882                    
111572276,000008704017,DO-798771                     
111566826,000008700546,DO-797999                     
111562869,000008697072,DO-797813                     
10135237,000002225795,DO-71986                      
81655928,000002576694,DO-94809                      
40203759,000002853416,DO-60294                      
30183894,000002847627,DO-77391                      
40208959,000002667528,DO-79550                      
40214625,000002267054,DO-62571                      
40214528,000002264596,DO-62512                      
40203182,000002036598,DO-59868                      
40203299,000002427068,DO-59958                      
40203631,000002291907,DO-60213                      
81659297,000002447393,DO-88041                      
40202797,000002467679,DO-59598                      
111508575,000008661176,DO-1603054                    
111508603,000008661186,DO-791948                     
84859294,000008050685,DO-1247760                    
85126227,000008283142,DO-1624323                    
111511490,000008663675,DO-792232                     
111511471,000008663681,DO-792264                     
111510746,000008663148,DO-791924                     
